title,article,alinea,revisto,validado,law_description,topico,referencia,referencia_incm
 QUOTA PARA A APOSENTAÇÃO, 5,3, , Bruno Vidal,"3. A importância da quota será arredondada para número exato de escudos, por defeito, se a fracção for inferior a $50, e por 
excesso, se igual ou superior.",['Quota'],"[' A partir de 1 de janeiro de 2002', ' a unidade monetária escudo foi substituída pelo euro a partir de 1 de janeiro de 2002', ' nos termos\ndo Decreto-Lei n.º 138/98', ' de 16 de maio (estabelece regras fundamentais a observar no processo de transição para o euro', ' complementando o\nordenamento jurídico comunitário existente). As referências à unidade monetária e ao símbolo gráfico do escudo nos artigos 5.º', ' n.º3', ' 13.º', ' n.º 5', ' 21.º', ' n.º\n2', ' 57.º', ' n.º 2', ' 121.º', ' n.º 2', ' e 134.º devem ser interpretadas como remissão para a unidade monetária euro. O artigo 16.º', ' n.º 1', ' já consagra a referência ao\neuro.']",
 INCIDÊNCIA DA QUOTA, 6,1, , Bruno Vidal,"1. Para efeitos do presente diploma e salvo disposição especial em contrário, consideram-se remunerações os ordenados, salários, 
gratificações, emolumentos, o subsídio de férias, o subsídio de Natal e outras retribuições, certas ou acidentais, fixas ou variáveis, 
correspondentes ao cargo ou cargos exercidos e não isentas de quota nos termos do n.º 2.",[' Remuneração'],[' 6.2'],
 INCIDÊNCIA DA QUOTA, 6,2, , Bruno Vidal,"2. Estão isentos de quota os abonos provenientes de participações em multas, senhas de presença, prémios por sugestões, trabalho
extraordinário, simples inerências e outros análogos, bem como todos os demais que, por força do presente diploma ou de lei 
especial, não possam igualmente influir, em qualquer medida, na pensão de aposentação. ",[''],[' 6.1 (from)'],
 INCIDÊNCIA DA QUOTA, 6,3, , Bruno Vidal,"3. Não constituem remuneração o abono de família, as ajudas de custo, os abonos ou subsídios de residência, de campo, de 
transportes, de viagens ou caminhos, para falhas, para despesas de representação, para vestuário e outros de natureza similar. ",[''],[' 6.1 (from)'],
 CONTRIBUIÇÕES, 6A,1, , Bruno Vidal,"1. Todas as entidades, independentemente da respetiva natureza jurídica e do seu grau de autonomia, contribuem mensalmente 
para a CGA, I. P., com 23,75 % da remuneração sujeita a desconto de quota dos trabalhadores abrangidos pelo regime de proteção 
social convergente ao seu serviço.",[' Contribuição'],"['Acórdão do Tribunal Constitucional (extrato) n.º 255/2020', ' publicado no Diário da República', ' 2.ª série', ' de 31 de julho de 2020 (julga \ninconstitucional', ' por violação do artigo 103.º', ' n.º 3', ' da Constituição', ' a norma do n.º 2 do artigo 261.º da Lei n.º 82-B/2014', ' de 31 de dezembro', ' segundo a \nqual o disposto no artigo 81.º da mesma lei', ' no segmento em que altera a redação do artigo 6.º-A do Estatuto da Aposentação', ' aprovado pelo Decreto-Lei n.º \n498/72', ' de 9 de dezembro', ' produz efeitos a partir de 7 de março de 2014 — dia da entrada em vigor da Lei n.º 11/2014', ' de 6 de março —', ' determinando \nassim um aumento de 0', '95 pontos percentuais da taxa contributiva referente aos meses de março a dezembro de 2014 a cargo das entidades empregadoras \ntitulares de estabelecimentos de ensino particular ou cooperativo não superior', ' relativas aos seus educadores e docentes ainda inscritos na CGA', ' I. P.).']"," LEI N.º 110/2009, DE 16 DE SETEMBRO (CÓDIGO DOS 
REGIMES CONTRIBUTIVOS DO SISTEMA PREVIDENCIAL DE SEGURANÇA SOCIAL). CONSOLIDADO."
 CONTRIBUIÇÕES, 6A,2, , Bruno Vidal,"2. O disposto no número anterior prevalece sobre quaisquer disposições legais, gerais ou especiais, em contrário, com excepção das 
seguintes: a) Para as entidades cujas responsabilidades com pensões foram transferidas para a CGA, I. P., uma contribuição de
montante igual à existente no âmbito do regime geral da segurança social para as entidades empregadoras ;b) Para as entidades
com pessoal relativamente ao qual a CGA, I. P., seja responsável unicamente pelo encargo com pensões de sobrevivência, uma 
contribuição de 3,75 % da remuneração do respetivo pessoal sujeita a desconto de quota.",[''],"[' 6a.1(from); Acórdão do Tribunal Constitucional n.º 362/2016', ' publicado no Diário da República', ' 2.ª série', ' de 11 de julho de 2016 \n[Não julga inconstitucional a norma do artigo 6.º-A', ' n.º 2', ' alínea b)', ' do Estatuto da Aposentação', ' aprovado pelo Decreto-Lei n.º 498/72', ' de 9 de \ndezembro', ' na redação dada pela Lei n.º 3-B/2010', ' de 28 de abril', ' na interpretação de que', ' para as entidades com pessoal relativamente ao \nqual a Caixa Geral de Aposentações', ' I. P.', ' seja responsável unicamente pelo encargo com pensões de sobrevivência', ' é devida uma contribuição \nde 3', '75 % da remuneração do respetivo pessoal sujeita a desconto de quota.]']"," LEI N.º 110/2009, DE 16 DE SETEMBRO (CÓDIGO DOS 
REGIMES CONTRIBUTIVOS DO SISTEMA PREVIDENCIAL DE SEGURANÇA SOCIAL). CONSOLIDADO."
 CONTRIBUIÇÕES, 6A,3, , Bruno Vidal,"3. As contribuições mensais para a CGA, I. P., são-lhe obrigatoriamente entregues juntamente com as quotas para a aposentação e 
para a pensão de sobrevivência do pessoal a que respeitam.",[' Contribuição'],[' ']," LEI N.º 110/2009, DE 16 DE SETEMBRO (CÓDIGO DOS 
REGIMES CONTRIBUTIVOS DO SISTEMA PREVIDENCIAL DE SEGURANÇA SOCIAL). CONSOLIDADO."
 CONTRIBUIÇÕES, 6A,4, , Bruno Vidal,"4. As instituições de ensino superior e restantes entidades com autonomia administrativa e financeira podem, para efeitos do 
presente artigo, utilizar os saldos de gerência de anos anteriores, ficando, para esse efeito, dispensados do cumprimento do artigo 
25.º da Lei n.º 91/2001, de 20 de agosto, alterada pela Lei n.º 48/2004, de 24 de agosto.","[' Contribuição, Ensino Superior']","['O artigo 7.º da Lei n.º 151/2015', ' de 11 de setembro (que aprova a Lei de Enquadramento Orçamental', ' versão consolidada)', ' revogou a \nLei n.º 91/2001', ' de 20 de agosto (que aprovou a Lei de Enquadramento Orçamental anterior). O regime jurídico do n.º 4 está assim revogado pela \naplicação da nova Lei de Enquadramento Orçamental.']"," LEI N.º 110/2009, DE 16 DE SETEMBRO (CÓDIGO DOS REGIMES CONTRIBUTIVOS DO SISTEMA PREVIDENCIAL DE 
SEGURANÇA SOCIAL). CONSOLIDADO."
 CONTRIBUIÇÕES, 6A,5, , Bruno Vidal,"5. À taxa contributiva prevista no n.º 1 para os estabelecimentos de ensino superior privado e cooperativo e não superior particular 
e cooperativo cujo pessoal se encontra inscrito no regime geral da segurança social para outras eventualidades não cobertas pela
Caixa Geral de Aposentações, I. P., é deduzida à suportada por aquelas entidades, como empregadores no âmbito do regime geral.",['Ensino Superior'],[' 6a.1(from)']," LEI N.º 110/2009, DE 16 DE SETEMBRO (CÓDIGO DOS 
REGIMES CONTRIBUTIVOS DO SISTEMA PREVIDENCIAL DE SEGURANÇA SOCIAL). CONSOLIDADO."
 BASE DE INCIDÊNCIA CONTRIBUTIVA, 6B,1, , Bruno Vidal,"1. As quotizações e contribuições para a Caixa incidem sobre a remuneração ilíquida do subscritor tal como definida no âmbito do
regime geral de segurança social dos trabalhadores por conta de outrem. ","['Contribuição, Quota, Remuneração']",[''],
 BASE DE INCIDÊNCIA CONTRIBUTIVA, 6B,2, , Bruno Vidal,"2. A remuneração ilíquida referida no número anterior é a que corresponder ao cargo ou função exercidos ou, nas situações em 
que não haja prestação de serviço, a do cargo ou função pelo qual o subscritor estiver inscrito na Caixa. ",[''],[' 6b.1(from)'],
 BASE DE INCIDÊNCIA CONTRIBUTIVA, 6B,3, , Bruno Vidal,"3. O disposto nos números anteriores tem natureza imperativa, prevalecendo sobre quaisquer outras normas, especiais ou 
excecionais, em contrário, com exceção das que estabelecem limites mínimos ou máximos à base de incidência contributiva. ",[''],"[' 6b.1(from)', ' 6b.2(from)']",
 BASE DE INCIDÊNCIA CONTRIBUTIVA, 6B,4, , Bruno Vidal,"4. Ficam excluídos do presente artigo os subscritores cujas pensões são fixadas com base em fórmula de cálculo diversa da prevista 
no artigo 5.º da Lei n.º 60/2005, de 29 de dezembro, alterada pelas Leis n.os 52/2007, de 31 de agosto, e 11/2008, de 20 de 
fevereiro, e os subscritores cujos direitos a pensão, garantidos através de fundos de pensões, foram transferidos para a Caixa Geral 
de Aposentações, aos quais continuam a aplicar-se as disposições dos artigos 6.º, 11.º e 48.º do Decreto-Lei n.º 498/72, de 9 de 
dezembro, na sua redação atual.",[''],"[' Art 5º', ' Lei n.º 60/2005', ' 29 de dezembro (versão consolidada); Art\n6º', ' 11º e 48º', ' Decreto-Lei n.º 498/72', ' de 9 de dezembro', ' na sua redação atual; 6b']",
 RELAÇÃO CONTRIBUTIVA, 7,1, , Bruno Vidal,"1. No dia 19 de cada mês, a Caixa disponibiliza na sua página eletrónica, em área de acesso reservado, relativamente aos serviços 
que processem remunerações sujeitas a desconto de quota ou que contribuam para a Caixa, uma relação contributiva previsional, 
relativa aos descontos de quotas e às contribuições desse mês e a outros valores que se mostrem em dívida.","[' Relação Contributiva, Quota, Contribuição']",[''],
 RELAÇÃO CONTRIBUTIVA, 7,2, , Bruno Vidal,"2. Compete aos serviços, até ao dia 6 do mês seguinte àquele em que a relação contributiva previsional tenha sido disponibilizada, 
introduzirem-lhe as alterações necessárias e confirmarem-na, através do código de utilizador previamente fornecido pela Caixa e de 
uma palavra passe. ",[' Relação Contributiva'],[''],
 RELAÇÃO CONTRIBUTIVA, 7,3, , Bruno Vidal,"3. A relação contributiva previsional converte-se em definitiva no dia em que tenha sido confirmada pelo serviço ou, na falta de 
intervenção deste, no último dia de que aquele disponha para o fazer. ",[' Relação Contributiva'],[''],
 ENTREGA DE VALORES, 8,1, , Bruno Vidal,"1. Após validar as relações contributivas definitivas, a Caixa, até ao dia 7 de cada mês, disponibiliza na sua página eletrónica, em 
área de acesso reservado, as seguintes informações: a) Valor global a entregar, discriminando a parte relativa a quotas, contribuição 
e importâncias de outra natureza; b) Modalidades de pagamento, a definir pelo conselho diretivo da Caixa. ","[' Entrega/Pagamento de Valores, relação contributiva']",['']," ART 18, 15.1 DECRETO-LEI N.º 309/2007, DE 7 DE SETEMBRO (CONSOLIDADO) "
 ENTREGA DE VALORES, 8,2, , Bruno Vidal,"2. Em função do canal de pagamento escolhido por cada entidade, é disponibilizada a referência identificativa da entrega a efectuar. ",[' Entrega/Pagamento de Valores'],['']," DECRETO-LEI N.º 309/2007, DE 7 DE SETEMBRO (CONSOLIDADO)"
 ENTREGA DE VALORES, 8,3, , Bruno Vidal,"3. Com base nos elementos referidos nos números anteriores, os serviços e entidades entregam à Caixa, diretamente ou através da 
Direção-Geral do Tesouro e Finanças, o valor correspondente à relação contributiva definitiva até ao dia 15 do mês em que aquela 
seja emitida.",[''],"[' 8.1(from)', ' 8.2(from)']","DECRETO-LEI N.º 309/2007, DE 7 DE SETEMBRO (CONSOLIDADO)"
 FUNCIONAMENTO, 9,1, , Bruno Vidal,"1. A Caixa disponibiliza a todos os serviços e entidades o apoio adequado e necessário ao funcionamento do sistema de relação 
contributiva desmaterializada e põe em prática as medidas técnicas e organizativas adequadas para proteger os respetivos dados 
contra a destruição, a perda acidental, a alteração, a difusão ou o acesso não autorizados e contra qualquer outra forma de 
tratamento ilícito.",[' Relação Contributiva'],[''],
 FUNCIONAMENTO, 9,2, , Bruno Vidal,"2. A relação contributiva electrónica definitiva é equiparada, para todos os efeitos legais, à relação de descontos em suporte de 
papel apresentada pelo serviço ou entidade a que diga respeito. ",[' Relação Contributiva'],[''],
 PAGAMENTO DIRETO DA QUOTA, 10,1, , Bruno Vidal,"Os subscritores legalmente destacados para o exercício de funções a que não corresponda remuneração ou em que esta não esteja
sujeita a desconto de quotas serão admitidos a fazer o pagamento delas directamente à Caixa, com base na remuneração do cargo
pelo qual estão inscritos, ou a regularizar esse pagamento nos termos do n.º 1 do artigo 13.º ",[' Entrega/Pagamento de Valores'],[' 13.1'],
 COMISSÃO E SERVIÇO MILITAR, 11,1, , Bruno Vidal,"1. O subscritor que, a título temporário e com prejuízo do exercício do seu cargo, passe a prestar serviço militar ou a exercer, em
regime de comissão de serviço ou requisição previsto na lei, funções remuneradas das por qualquer das entidades referidas no 
artigo 1.º e que relevem para o direito à aposentação, descontará quota sobre a remuneração correspondente à nova situação. ","[' Serviço Militar, Quota, Remuneração']",[' 1'],
 COMISSÃO E SERVIÇO MILITAR, 11,2, , Bruno Vidal,"2. Salvo o caso de serviço militar, o montante da quota não poderá ser inferior ao que seria devido pelo exercício, durante o mesmo 
tempo, do cargo pelo qual o subscritor estiver inscrito na Caixa. ","[' Quota, Serviço Militar']",[''],
 COMISSÃO E SERVIÇO MILITAR, 11,3, , Bruno Vidal,"3. Quando o subscritor preste serviço, nos termos do n.º 1, a entidades diversas das que no mesmo número se referem ou exerça 
funções que não relevem para o direito à aposentação, a quota continuará a incidir sobre as remunerações correspondentes ao 
cargo pelo qual estiver inscrito na Caixa. ","[' Quota, Serviço Militar']",[' 11.1(from)'],
 COMISSÃO NO ULTRAMAR, 12,1, , Bruno Vidal,"As quotas descontadas ao subscritor que desempenhe funções na administração ultramarina, nos termos do n.º 1 do artigo 
precedente, ficarão retidas nos cofres desta última para os fins previstos nos artigos 19.º e 63.º ",[' Ultramarina'],"[' 11.1(from)', ' 19', ' 63']"," PORTARIA Nº 19921, DE 27 DE JUNHO DE 1963 (SEM ALTERAÇÕES); DECRETO N.º 46982, DE 27 DE 
ABRIL (ALTERADO PELO DECRETO-LEI N.º 65/75, DE 19 DE FEVEREIRO)."
 REGULARIZAÇÃO E PAGAMENTO DE QUOTAS, 13,1, , Bruno Vidal,"1. A regularização de quotas em dívida por tempo de serviço a que já correspondesse o direito de aposentação à data em que foi 
prestado efectuar-se-á com base na remuneração e na quota praticadas nessa época, com o acréscimo de juros à taxa de 4 por 
cento ao ano, se a falta de oportuna inscrição for imputável ao subscritor. ","[' Dívida, Quota']",[''],
 REGULARIZAÇÃO E PAGAMENTO DE QUOTAS, 13,2, , Bruno Vidal,"2. Na mesma base serão liquidadas as quotas correspondentes a percentagens legais de aumento do tempo de serviço prestado 
nas condições do número anterior.","[' Dívida, Quota']",[' 13.1'],
 REGULARIZAÇÃO E PAGAMENTO DE QUOTAS, 13,3, , Bruno Vidal,"3. Nos demais casos de contagem de tempo, as quotas que não hajam sido pagas ou que tenham sido restituídas pela Caixa serão 
liquidadas, sem juros, com base na remuneração do cargo do subscritor à data da entrada do seu requerimento e na taxa então 
vigente. ",[' Dívida'],[''],
 REGULARIZAÇÃO E PAGAMENTO DE QUOTAS, 13,4, , Bruno Vidal,"4. Para efeitos de reforma e de pensão de sobrevivência, os trabalhadores bancários no ativo poderão requerer a contagem de todo 
o tempo de serviço militar obrigatório, aplicando-se, para efeito de liquidação da correspondente dívida de quotas, a taxa de 2%
sobre a remuneração auferida à data do requerimento, quando esse tempo não confira direitos em matéria de aposentação e 
sobrevivência no âmbito da Caixa. ","[' Dívida, Serviço Militar']",[''],
 REGULARIZAÇÃO E PAGAMENTO DE QUOTAS, 13,5, , Bruno Vidal,"5. A Caixa poderá, por si ou a pedido das instituições de crédito onde os trabalhadores exercem a sua actividade profissional, 
transferir os referidos descontos para o fundo de pensões dos bancários, cobrando, a título de compensação pela prestação de 
serviços, a importância de 10% do montante a transferir, com o limite máximo de 5000$00. ",[' Banca'],[' 13.5']," DECRETO-LEI N.º 138/98, DE 16 DE MAIO (ESTABELECE REGRAS FUNDAMENTAIS A OBSERVAR NO PROCESSO 
DE TRANSIÇÃO PARA O EURO, COMPLEMENTANDO O ORDENAMENTO JURÍDICO COMUNITÁRIO EXISTENTE)"
 ISENÇÃO DE QUOTAS POR TEMPO CONTADO PARA A APOSENTAÇÃO , 14,1, , Bruno Vidal,"Não são devidas quotas à Caixa relativamente ao tempo de serviço anteriormente prestado pelo subscritor à administração 
ultramarina e por esta contado para efeitos de aposentação. ",[' Ultramarina'],[''],"ULTRAMARINA
REFERÊNCIA INCM: PORTARIA Nº 19921, DE 27 DE JUNHO DE 1963; DECRETO N.º 46982, DE 27 DE ABRIL"
 DISPENSA DE QUOTAS POR TEMPO DE CONTRIBUIÇÃO , 15,1, , Bruno Vidal,"1. O subscritor poderá pedir a dispensa do pagamento de quotas pela contagem de tempo de serviço prestado aos organismos de 
coordenação económica ou a outras entidades referidas no artigo 1.º, desde que tenham sido pagas as contribuições para reforma, 
devidas por esse período, à respetiva instituição de previdência social.",[' Dispensa do Pagamento'],[' 2'],PARA A PREVIDÊNCIA
 DISPENSA DE QUOTAS POR TEMPO DE CONTRIBUIÇÃO PARA , 15,2, , Bruno Vidal,"2. O pedido formulado nos termos do número anterior implica opção pelo regime previsto no n.º 3 do artigo 53.º e no n.º 4 do 
artigo 63.º e o seu deferimento será desde logo comunicado à instituição de previdência para oportuno cumprimento do que 
nesses preceitos se dispõe. ",[''],"[' 15.1(from)', ' 53.3', ' 63.4']",A PREVIDÊNCIA
 PAGAMENTO DE QUOTAS EM DÍVIDA, 16,1, , Bruno Vidal,"1. O pagamento previsto no artigo 13.º poderá ser feito por uma só vez ou em prestações mensais, sem acréscimos de novos juros, 
por meio de descontos em folha até ao máximo de 60 prestações, sendo de € 50 o mínimo de cada prestação. ","[' Dívida, Prestações']",[' 13']," DESPACHO NORMATIVO 5/2006, DE 30 DE JANEIRO"
 PAGAMENTO DE QUOTAS EM DÍVIDA, 16,2, , Bruno Vidal,"2. Se o pagamento referido no número anterior implicar o desconto, em cada mês, de importância superior à da quota do 
subscritor, é permitido um número maior de prestações, desde que estas sejam, pelo menos, de montante igual ao da mesma 
quota. ","['Dívida, Prestações']",[' 16.1(from) ']," DESPACHO NORMATIVO 5/2006, DE 30 DE JANEIRO"
 PAGAMENTO DE QUOTAS EM DÍVIDA, 16,3, , Bruno Vidal,"3. Na falta de declaração em contrário, feita dentro do prazo de trinta dias, a contar da expedição pela Caixa do aviso de liquidação, 
entende-se que o interessado optou pelo pagamento em prestações e pelo número máximo destas. ",[' Prestações'],['']," DESPACHO NORMATIVO 5/2006, DE 30 DE JANEIRO"
 PAGAMENTO DE QUOTAS EM DÍVIDA, 16,4, , Bruno Vidal,"4. Se o interessado estiver em situação em que não receba remuneração ou não sofra desconto de quota, fará o pagamento 
diretamente à Caixa, nas condições que esta fixar para execução do estabelecido nos números anteriores.",[''],"[' 16.1(from)', ' 16.2(from)', ' 16.3(from)']"," DESPACHO NORMATIVO 5/2006, DE 30 DE JANEIRO"
 PAGAMENTO DE QUOTAS EM DÍVIDA, 16,5, , Bruno Vidal,"5. A Caixa, no caso de não cumprimento do disposto no n.º 4, notificará o interessado, por carta registada com aviso de recepção, 
para, no prazo de trinta dias, efectuar o pagamento, sob pena de ficar sem efeito a contagem do tempo de serviço que exceda o 
correspondente às importâncias já satisfeitas e de a mesma só poder ser objeto de novo requerimento mediante liquidação 
imediata do total devido.",[''],[' 16.4(from)']," DESPACHO NORMATIVO 5/2006, DE 30 DE JANEIRO"
 PAGAMENTO DE QUOTAS EM DÍVIDA, 16,6, , Bruno Vidal,6. O montante da prestação mínima referida no n.º 1 poderá ser alterado por despacho do Ministro das Finanças e do Plano. ,[''],[' 16.1(from)']," DESPACHO NORMATIVO 5/2006, DE 30 DE JANEIRO"
 CUSTAS OU DESPESAS A LIQUIDAR COM A QUOTA, 17,1, , Bruno Vidal,"Ao desconto de quotas ou ao seu pagamento direto acrescerá, nos termos fixados pela Caixa, o das quantias em dívida por custas 
ou despesas a cargo do subscritor. ",[' Dívida'],[''],
 DESCONTO DE ENCARGOS NA PENSÃO, 18,1, , Bruno Vidal,"1. O subscritor desligado do serviço para efeitos de aposentação e que tenha importâncias em dívida, nos termos do artigo anterior 
ou por tempo de serviço que influa na respetiva pensão, fica sujeito ao correspondente desconto na primeira pensão que lhe for 
abonada ou também nas pensões seguintes até perfazer o total devido.",[''],[' 17(from)'],
 DESCONTO DE ENCARGOS NA PENSÃO, 18,2, , Bruno Vidal,"2. Salvo pedido de maior desconto, este não poderá exceder 6,5% da importância de cada pensão. ",[''],[' 18.1(from)'],
 PARTE DEVIDA A OUTRAS ENTIDADES, 19,1, , Bruno Vidal,"As quotas e indemnizações relativas a tempo de serviço prestado às autarquias locais e demais entidades responsáveis, nos termos
do artigo 63.º pela aposentação pertencem às mesmas entidades, sendo as que a Caixa arrecadar levadas em conta na atribuição 
dos encargos respetivos, incluindo os mencionados no n.º 7 do artigo 63.º","[' Quota', ' Encargo da Aposentação']","[' 63', ' 63.7']",
 EXTINÇÃO DA RESPONSABILIDADE, 20,1, , Bruno Vidal,"A responsabilidade pelas importâncias referidas no artigo 18.º e pelas indemnizações previstas no n.º 3 do artigo 57.º, que se 
encontrem em dívida à Caixa, cessa com a definitiva eliminação do subscritor ou com a extinção da situação de aposentado. ",[' Quota'],"[' 18(from)', ' 57.3(from)']",
 RESTITUIÇÃO E RETENÇÃO, 21,1, , Bruno Vidal,"1. Só as quantias indevidamente cobradas serão restituídas pela Caixa, acrescendo-lhes juros à taxa de 4 por cento ao ano, desde a 
data do requerimento do interessado ou daquela em que a Caixa teve conhecimento da irregularidade da cobrança.",[' Restituição'],[''],
 RESTITUIÇÃO E RETENÇÃO, 21,2, , Bruno Vidal,"2. As quantias inferiores a 10$00 não são restituíveis ao subscritor, nem exigíveis deste quando a sua falta venha a verificar-se no 
processo de aposentação. ",[' Restituição'],['']," DECRETO-LEI N.º 138/98, DE 16 DE MAIO (ESTABELECE REGRAS FUNDAMENTAIS A OBSERVAR NO PROCESSO 
DE TRANSIÇÃO PARA O EURO, COMPLEMENTANDO O ORDENAMENTO JURÍDICO COMUNITÁRIO EXISTENTE)"
 RESTITUIÇÃO E RETENÇÃO, 21,3, , Bruno Vidal,"3. O direito à restituição prescreve no prazo de três anos, a contar da data em que o interessado teve conhecimento dele. ","[' Restituição', ' Prescrição']",[''],
 RESTITUIÇÃO E RETENÇÃO, 21,4, , Bruno Vidal,"4. O direito ao levantamento das importâncias cuja restituição foi autorizada prescreve no prazo de um ano, a contar da 
comunicação do despacho respetivo.",[' Restituição'],[''],
